file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
111,C7,PLPI,HHZ,FFT,2021-09-14 00:00:00.00,2021-09-15 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:20.00
112,C7,PPMA,HHN,FFT,2021-09-14 00:00:00.00,2021-09-15 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:28.00
113,C7,PPMA,HHE,FFT,2021-09-14 00:00:00.00,2021-09-15 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:36.00
114,C7,PPMA,HHZ,FFT,2021-09-14 00:00:00.00,2021-09-15 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:44.00
115,C7,PLPI,HHN,FFT,2021-09-15 00:00:00.00,2021-09-16 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:48:53.00
116,C7,PLPI,HHE,FFT,2021-09-15 00:00:00.00,2021-09-16 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:01.00
117,C7,PLPI,HHZ,FFT,2021-09-15 00:00:00.00,2021-09-16 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:09.00
118,C7,PPMA,HHN,FFT,2021-09-15 00:00:00.00,2021-09-16 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:17.00
119,C7,PPMA,HHE,FFT,2021-09-15 00:00:00.00,2021-09-16 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:26.00
120,C7,PPMA,HHZ,FFT,2021-09-15 00:00:00.00,2021-09-16 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:49:34.00
